iter	Passed	Remaining
0	139	139249
1	141	70833
2	144	47996
3	146	36395
4	148	29599
5	151	25076
6	153	21775
7	155	19280
8	157	17395
9	160	15840
10	162	14575
11	163	13496
12	166	12615
13	168	11848
14	170	11188
15	172	10603
16	174	10092
17	176	9617
18	178	9223
19	180	8856
20	182	8524
21	185	8229
22	187	7954
23	189	7700
24	191	7471
25	193	7256
26	195	7056
27	198	6874
28	200	6703
29	202	6539
30	204	6390
31	206	6250
32	208	6111
33	211	5996
34	213	5881
35	215	5778
36	218	5687
37	220	5588
38	223	5498
39	225	5411
40	227	5323
41	229	5241
42	232	5168
43	234	5093
44	235	5005
45	238	4944
46	240	4886
47	243	4826
48	245	4772
49	248	4715
50	250	4660
51	252	4611
52	255	4562
53	257	4516
54	259	4466
55	262	4421
56	264	4373
57	266	4331
58	268	4289
59	271	4250
60	273	4213
61	276	4178
62	278	4144
63	280	4107
64	282	4060
65	284	4031
66	287	3998
67	289	3964
68	291	3932
69	293	3900
70	295	3860
71	297	3829
72	299	3804
73	302	3779
74	304	3755
75	306	3729
76	308	3703
77	310	3667
78	312	3643
79	314	3617
80	316	3593
81	319	3572
82	321	3550
83	323	3526
84	325	3506
85	328	3486
86	330	3465
87	332	3447
88	335	3431
89	337	3416
90	340	3400
91	342	3383
92	345	3368
93	347	3352
94	350	3338
95	352	3322
96	355	3306
97	357	3293
98	360	3278
99	362	3263
100	365	3250
101	367	3236
102	370	3224
103	372	3212
104	375	3199
105	377	3187
106	380	3175
107	382	3162
108	385	3151
109	388	3139
110	390	3127
111	393	3117
112	395	3101
113	397	3090
114	400	3080
115	402	3069
116	405	3058
117	407	3049
118	410	3039
119	413	3029
120	415	3018
121	418	3010
122	420	3001
123	423	2991
124	426	2986
125	429	2975
126	432	2970
127	435	2965
128	438	2960
129	441	2953
130	444	2948
131	447	2941
132	449	2932
133	452	2924
134	455	2916
135	457	2907
136	460	2903
137	463	2894
138	466	2887
139	468	2880
140	471	2873
141	474	2869
142	477	2861
143	480	2857
144	483	2849
